id_paper ; id_type ; Title ; Journal ; Volume ; Number ; Pages ; Year ; ISSN ; doi ; Abstract ; Date ; URL ; ISBN ; Issue ; Month
 2737 ; 102 ; Experimenters\ guide\ to\ colocalization\ studies\ finding\ a\ way\ thro ; Methods\ Cell\ Biol ; 123 ;NULL; 395-408 ; 2014 ; 0091-679X ; 10.1016/B978-0-12-420138-5.00021-5 ; <p>Multicolor\ fluorescence\ microscopy\ helps\ to\ define\ the\ local\ interplay\ of\ subcellular\ components\ in\ cell\ biological\ experiments.\ The\ analysis\ of\ spatial\ coincidence\ of\ two\ or\ more\ markers\ is\ a\ first\ step\ in\ investigating\ the\ potential\ interactions\ of\ molecular\ actors.\ Colocalization\ studies\ rely\ on\ image\ preprocessing\ and\ further\ analysis;\ however,\ they\ are\ limited\ by\ optical\ resolution.\ Once\ those\ limitations\ are\ taken\ into\ account,\ characterization\ might\ be\ performed.\ In\ this\ review,\ we\ discuss\ two\ types\ of\ parameters\ that\ are\ aimed\ at\ evaluating\ colocalization,\ which\ are\ indicators\ and\ quantifiers.\ Indicators\ evaluate\ signal\ coincidence\ over\ a\ predefined\ scale,\ while\ quantifiers\ provide\ an\ absolute\ measurement.\ As\ the\ image\ is\ both\ a\ collection\ of\ intensities\ and\ a\ collection\ of\ objects,\ both\ approaches\ are\ applicable.\ Most\ of\ the\ available\ image\ processing\ software\ include\ various\ colocalization\ options;\ however,\ guidance\ for\ the\ choice\ of\ the\ appropriate\ method\ is\ rarely\ proposed.\ In\ this\ review,\ we\ provide\ the\ reader\ with\ a\ basic\ description\ of\ the\ available\ colocalization\ approaches,\ proposing\ a\ guideline\ for\ their\ use,\ either\ alone\ or\ in\ combination.</p> ; 2014 ;;;;NULL
 2760 ; 102 ; Autofocusing\ in\ computer\ microscopy\ selecting\ the\ optimal\ focus\  ; Microsc\ Res\ Tech ; 65 ;NULL; 139-49 ; 2004 ; 1059-910X ; 10.1002/jemt.20118 ; <p>Autofocusing\ is\ a\ fundamental\ technology\ for\ automated\ biological\ and\ biomedical\ analyses\ and\ is\ indispensable\ for\ routine\ use\ of\ microscopes\ on\ a\ large\ scale.\ This\ article\ presents\ a\ comprehensive\ comparison\ study\ of\ 18\ focus\ algorithms\ in\ which\ a\ total\ of\ 139,000\ microscope\ images\ were\ analyzed.\ Six\ samples\ were\ used\ with\ three\ observation\ methods\ (brightfield,\ phase\ contrast,\ and\ differential\ interference\ contrast\ (DIC))\ under\ two\ magnifications\ (100x\ and\ 400x).\ A\ ranking\ methodology\ is\ proposed,\ based\ on\ which\ the\ 18\ focus\ algorithms\ are\ ranked.\ Image\ preprocessing\ was\ also\ conducted\ to\ extensively\ reveal\ the\ performance\ and\ robustness\ of\ the\ focus\ algorithms.\ The\ presented\ guidelines\ allow\ for\ the\ selection\ of\ the\ optimal\ focus\ algorithm\ for\ different\ microscopy\ applications.</p> ; 2004\ Oct ;;; 3 ;NULL
 2775 ; 102 ; Beyond\ colocalization\ inferring\ spatial\ interactions\ between\ sub ; BMC\ Bioinformatics ; 11 ;NULL; 372 ; 2010 ; 1471-2105 ; 10.1186/1471-2105-11-372 ; <p><b>BACKGROUND:\ </b>Sub-cellular\ structures\ interact\ in\ numerous\ direct\ and\ indirect\ ways\ in\ order\ to\ fulfill\ cellular\ functions.\ While\ direct\ molecular\ interactions\ crucially\ depend\ on\ spatial\ proximity,\ other\ interactions\ typically\ result\ in\ spatial\ correlations\ between\ the\ interacting\ structures.\ Such\ correlations\ are\ the\ target\ of\ microscopy-based\ co-localization\ analysis,\ which\ can\ provide\ hints\ of\ potential\ interactions.\ Two\ complementary\ approaches\ to\ co-localization\ analysis\ can\ be\ distinguished:\ intensity\ correlation\ methods\ capitalize\ on\ pattern\ discovery,\ whereas\ object-based\ methods\ emphasize\ detection\ power.</p><p><b>RESULTS:\ </b>We\ first\ reinvestigate\ the\ classical\ co-localization\ measure\ in\ the\ context\ of\ spatial\ point\ pattern\ analysis.\ This\ allows\ us\ to\ unravel\ the\ set\ of\ implicit\ assumptions\ inherent\ to\ this\ measure\ and\ to\ identify\ potential\ confounding\ factors\ commonly\ ignored.\ We\ generalize\ object-based\ co-localization\ analysis\ to\ a\ statistical\ framework\ involving\ spatial\ point\ processes.\ In\ this\ framework,\ interactions\ are\ understood\ as\ position\ co-dependencies\ in\ the\ observed\ localization\ patterns.\ The\ framework\ is\ based\ on\ a\ model\ of\ effective\ pairwise\ interaction\ potentials\ and\ the\ specification\ of\ a\ null\ hypothesis\ for\ the\ expected\ pattern\ in\ the\ absence\ of\ interaction.\ Inferred\ interaction\ potentials\ thus\ reflect\ all\ significant\ effects\ that\ are\ not\ explained\ by\ the\ null\ hypothesis.\ Our\ model\ enables\ the\ use\ of\ a\ wealth\ of\ well-known\ statistical\ methods\ for\ analyzing\ experimental\ data,\ as\ demonstrated\ on\ synthetic\ data\ and\ in\ a\ case\ study\ considering\ virus\ entry\ into\ live\ cells.\ We\ show\ that\ the\ classical\ co-localization\ measure\ typically\ under-exploits\ the\ information\ contained\ in\ our\ data.</p><p><b>CONCLUSIONS:\ </b>We\ establish\ a\ connection\ between\ co-localization\ and\ spatial\ interaction\ of\ sub-cellular\ structures\ by\ formulating\ the\ object-based\ interaction\ analysis\ problem\ in\ a\ spatial\ statistics\ framework\ based\ on\ nearest-neighbor\ distance\ distributions.\ We\ provide\ generic\ procedures\ for\ inferring\ interaction\ strengths\ and\ quantifying\ their\ relative\ statistical\ significance\ from\ sets\ of\ discrete\ objects\ as\ provided\ by\ image\ analysis\ methods.\ Within\ our\ framework,\ an\ interaction\ potential\ can\ either\ refer\ to\ a\ phenomenological\ or\ a\ mechanistic\ model\ of\ a\ physico-chemical\ interaction\ process.\ This\ increased\ flexibility\ in\ designing\ and\ testing\ different\ hypothetical\ interaction\ models\ can\ be\ used\ to\ quantify\ the\ parameters\ of\ a\ specific\ interaction\ model\ or\ may\ catalyze\ the\ discovery\ of\ functional\ relations.</p> ; 2010 ;;;;NULL
 2777 ; 102 ; Using\ CellX\ to\ quantify\ intracellular\ events ; Curr\ Protoc\ Mol\ Biol ; Chapter\ 14 ;NULL; Unit\ 14.22. ; 2013 ; 1934-3647 ; 10.1002/0471142727.mb1422s101 ; <p>Methods\ to\ quantify\ features\ of\ individual\ cells\ using\ light\ microscopy\ have\ become\ widely\ used\ in\ biology.\ A\ multitude\ of\ computational\ tools\ has\ been\ developed\ for\ image\ analysis;\ however,\ they\ are\ often\ only\ for\ specific\ cell\ types\ and\ microscopy\ techniques.\ This\ unit\ describes\ CellX,\ an\ open-source\ software\ package\ for\ cell\ segmentation,\ intensity\ quantification,\ and\ cell\ tracking\ on\ a\ variety\ of\ microscopy\ images.\ CellX\ can\ perform\ cell\ segmentation\ largely\ independently\ of\ cell\ shapes,\ and\ can\ also\ cope\ with\ images\ that\ are\ crowded\ with\ cells.\ The\ basic\ protocol\ describes\ how\ to\ use\ CellX\ for\ cell\ segmentation\ and\ quantification.\ This\ protocol\ remains\ the\ same\ whether\ there\ is\ a\ collection\ of\ images\ to\ be\ analyzed\ or\ whether\ cell\ tracking\ on\ a\ sequence\ of\ images\ is\ to\ be\ performed.\ The\ CellX\ output\ comprises\ control\ images\ for\ visual\ validation,\ text\ files\ for\ post-processing\ statistics,\ and\ MATLAB\ objects\ for\ advanced\ subsequent\ analysis.</p> ; 2013 ;;;;NULL
 2778 ; 102 ; Avoiding\ twisted\ pixels\ ethical\ guidelines\ for\ the\ appropriate\ u ; Sci\ Eng\ Ethics ; 16 ;NULL; 639-67 ; 2010 ; 1471-5546 ; 10.1007/s11948-010-9201-y ; <p>Digital\ imaging\ has\ provided\ scientists\ with\ new\ opportunities\ to\ acquire\ and\ manipulate\ data\ using\ techniques\ that\ were\ difficult\ or\ impossible\ to\ employ\ in\ the\ past.\ Because\ digital\ images\ are\ easier\ to\ manipulate\ than\ film\ images,\ new\ problems\ have\ emerged.\ One\ growing\ concern\ in\ the\ scientific\ community\ is\ that\ digital\ images\ are\ not\ being\ handled\ with\ sufficient\ care.\ The\ problem\ is\ twofold:\ (1)\ the\ very\ small,\ yet\ troubling,\ number\ of\ intentional\ falsifications\ that\ have\ been\ identified,\ and\ (2)\ the\ more\ common\ unintentional,\ inappropriate\ manipulation\ of\ images\ for\ publication.\ Journals\ and\ professional\ societies\ have\ begun\ to\ address\ the\ issue\ with\ specific\ digital\ imaging\ guidelines.\ Unfortunately,\ the\ guidelines\ provided\ often\ do\ not\ come\ with\ instructions\ to\ explain\ their\ importance.\ Thus\ they\ deal\ with\ what\ should\ or\ should\ not\ be\ done,\ but\ not\ the\ associated\ 'why'\ that\ is\ required\ for\ understanding\ the\ rules.\ This\ article\ proposes\ 12\ guidelines\ for\ scientific\ digital\ image\ manipulation\ and\ discusses\ the\ technical\ reasons\ behind\ these\ guidelines.\ These\ guidelines\ can\ be\ incorporated\ into\ lab\ meetings\ and\ graduate\ student\ training\ in\ order\ to\ provoke\ discussion\ and\ begin\ to\ bring\ an\ end\ to\ the\ culture\ of\ "data\ beautification".</p> ; 2010\ Dec ;;; 4 ;NULL
 2782 ; 102 ; Momentpreserving\ thresolding\ A\ new\ approach ; Computer\ Vision,\ Graphics,\ and\ Image\ Processing ; 29 ;NULL; 377\ -\ 393 ; 1985 ; 0734-189X ; http://dx.doi.org/10.1016/0734-189X(85)90133-1 ; A\ new\ approach\ to\ automatic\ threshold\ selection\ using\ the\ moment-preserving\ principle\ is\ proposed.\ The\ threshold\ values\ are\ computed\ deterministically\ in\ such\ a\ way\ that\ the\ moments\ of\ an\ input\ picture\ is\ preserved\ in\ the\ output\ picture.\ Experimental\ results\ show\ that\ the\ approach\ can\ be\ employed\ to\ threshold\ a\ given\ picture\ into\ meaningful\ gray-level\ classes.\ The\ approach\ is\ described\ for\ global\ thresholding,\ but\ it\ is\ applicable\ to\ local\ thresholding\ as\ well. ;; http://www.sciencedirect.com/science/article/pii/0734189X85901331 ;;;NULL
 2784 ; 102 ; Huygens\ Remote\ Manager\ A\ Web\ Interface\ for\ HighVolume\ Batch\ Deco ; Imaging\ &\ Microscopy ; 9 ;NULL; 57–58 ; 2007 ; 14394243,\ 18637809 ; 10.1002/imic.200790154 ;;; http://doi.wiley.com/10.1002/imic.200790154 ;;;NULL
 2787 ; 102 ; Quantification\ of\ histochemical\ staining\ by\ color\ deconvolution ; Anal\ Quant\ Cytol\ Histol ; 23 ;NULL; 291-9 ; 2001 ; 0884-6812 ;; <p><b>OBJECTIVE:\ </b>To\ develop\ a\ flexible\ method\ of\ separation\ and\ quantification\ of\ immunohistochemical\ staining\ by\ means\ of\ color\ image\ analysis.</p><p><b>STUDY\ DESIGN:\ </b>An\ algorithm\ was\ developed\ to\ deconvolve\ the\ color\ information\ acquired\ with\ red-green-blue\ (RGB)\ cameras\ and\ to\ calculate\ the\ contribution\ of\ each\ of\ the\ applied\ stains\ based\ on\ stain-specific\ RGB\ absorption.\ The\ algorithm\ was\ tested\ using\ different\ combinations\ of\ diaminobenzidine,\ hematoxylin\ and\ eosin\ at\ different\ staining\ levels.</p><p><b>RESULTS:\ </b>Quantification\ of\ the\ different\ stains\ was\ not\ significantly\ influenced\ by\ the\ combination\ of\ multiple\ stains\ in\ a\ single\ sample.\ The\ color\ deconvolution\ algorithm\ resulted\ in\ comparable\ quantification\ independent\ of\ the\ stain\ combinations\ as\ long\ as\ the\ histochemical\ procedures\ did\ not\ influence\ the\ amount\ of\ stain\ in\ the\ sample\ due\ to\ bleaching\ because\ of\ stain\ solubility\ and\ saturation\ of\ staining\ was\ prevented.</p><p><b>CONCLUSION:\ </b>This\ image\ analysis\ algorithm\ provides\ a\ robust\ and\ flexible\ method\ for\ objective\ immunohistochemical\ analysis\ of\ samples\ stained\ with\ up\ to\ three\ different\ stains\ using\ a\ laboratory\ microscope,\ standard\ RGB\ camera\ setup\ and\ the\ public\ domain\ program\ NIH\ Image.</p> ; 2001\ Aug ;;; 4 ;NULL
 2789 ; 102 ; ImmunoRatio\ a\ publicly\ available\ web\ application\ for\ quantitativ ; Breast\ Cancer\ Res ; 12 ;NULL; R56 ; 2010 ; 1465-542X ; 10.1186/bcr2615 ; <p><b>INTRODUCTION:\ </b>Accurate\ assessment\ of\ estrogen\ receptor\ (ER),\ progesterone\ receptor\ (PR),\ and\ Ki-67\ is\ essential\ in\ the\ histopathologic\ diagnostics\ of\ breast\ cancer.\ Commercially\ available\ image\ analysis\ systems\ are\ usually\ bundled\ with\ dedicated\ analysis\ hardware\ and,\ to\ our\ knowledge,\ no\ easily\ installable,\ free\ software\ for\ immunostained\ slide\ scoring\ has\ been\ described.\ In\ this\ study,\ we\ describe\ a\ free,\ Internet-based\ web\ application\ for\ quantitative\ image\ analysis\ of\ ER,\ PR,\ and\ Ki-67\ immunohistochemistry\ in\ breast\ cancer\ tissue\ sections.</p><p><b>METHODS:\ </b>The\ application,\ named\ ImmunoRatio,\ calculates\ the\ percentage\ of\ positively\ stained\ nuclear\ area\ (labeling\ index)\ by\ using\ a\ color\ deconvolution\ algorithm\ for\ separating\ the\ staining\ components\ (diaminobenzidine\ and\ hematoxylin)\ and\ adaptive\ thresholding\ for\ nuclear\ area\ segmentation.\ ImmunoRatio\ was\ calibrated\ using\ cell\ counts\ defined\ visually\ as\ the\ gold\ standard\ (training\ set,\ n\ =\ 50).\ Validation\ was\ done\ using\ a\ separate\ set\ of\ 50\ ER,\ PR,\ and\ Ki-67\ stained\ slides\ (test\ set,\ n\ =\ 50).\ In\ addition,\ Ki-67\ labeling\ indexes\ determined\ by\ ImmunoRatio\ were\ studied\ for\ their\ prognostic\ value\ in\ a\ retrospective\ cohort\ of\ 123\ breast\ cancer\ patients.</p><p><b>RESULTS:\ </b>The\ labeling\ indexes\ by\ calibrated\ ImmunoRatio\ analyses\ correlated\ well\ with\ those\ defined\ visually\ in\ the\ test\ set\ (correlation\ coefficient\ r\ =\ 0.98).\ Using\ the\ median\ Ki-67\ labeling\ index\ (20%)\ as\ a\ cutoff,\ a\ hazard\ ratio\ of\ 2.2\ was\ obtained\ in\ the\ survival\ analysis\ (n\ =\ 123,\ P\ =\ 0.01).\ ImmunoRatio\ was\ shown\ to\ adapt\ to\ various\ staining\ protocols,\ microscope\ setups,\ digital\ camera\ models,\ and\ image\ acquisition\ settings.\ The\ application\ can\ be\ used\ directly\ with\ web\ browsers\ running\ on\ modern\ operating\ systems\ (e.g.,\ Microsoft\ Windows,\ Linux\ distributions,\ and\ Mac\ OS).\ No\ software\ downloads\ or\ installations\ are\ required.\ ImmunoRatio\ is\ open\ source\ software,\ and\ the\ web\ application\ is\ publicly\ accessible\ on\ our\ website.</p><p><b>CONCLUSIONS:\ </b>We\ anticipate\ that\ free\ web\ applications,\ such\ as\ ImmunoRatio,\ will\ make\ the\ quantitative\ image\ analysis\ of\ ER,\ PR,\ and\ Ki-67\ easy\ and\ straightforward\ in\ the\ diagnostic\ assessment\ of\ breast\ cancer\ specimens.</p> ; 2010 ;;; 4 ;NULL
 2792 ; 102 ; Biological\ imaging\ software\ tools ; Nat\ Methods ; 9 ;NULL; 697-710 ; 2012 ; 1548-7105 ; 10.1038/nmeth.2084 ; <p>Few\ technologies\ are\ more\ widespread\ in\ modern\ biological\ laboratories\ than\ imaging.\ Recent\ advances\ in\ optical\ technologies\ and\ instrumentation\ are\ providing\ hitherto\ unimagined\ capabilities.\ Almost\ all\ these\ advances\ have\ required\ the\ development\ of\ software\ to\ enable\ the\ acquisition,\ management,\ analysis\ and\ visualization\ of\ the\ imaging\ data.\ We\ review\ each\ computational\ step\ that\ biologists\ encounter\ when\ dealing\ with\ digital\ images,\ the\ inherent\ challenges\ and\ the\ overall\ status\ of\ available\ software\ for\ bioimage\ informatics,\ focusing\ on\ open-source\ options.</p> ; 2012\ Jul ;;; 7 ;NULL
